                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.8053,                 0.9196,                0.96909,                0.94807,                0.83356,                0.90574,                0.46652,                 1.6219,                 0.8475,                0.93425,                0.00134,                0.00134,                0.00134
                     53,                 1.7924,                0.91338,                0.96262,                0.95976,                  0.812,                0.89159,                0.41961,                 1.6592,                0.87389,                0.94055,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.7843,                0.91573,                0.97612,                0.95372,                0.81021,                0.89447,                0.41051,                 1.6908,                0.88123,                0.94617,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7919,                0.90849,                0.96669,                0.94713,                0.82901,                0.90666,                 0.4169,                 1.7373,                0.89227,                0.94745,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.8218,                0.94337,                0.98672,                0.96371,                  0.832,                0.90918,                0.45525,                 1.6329,                0.86181,                0.93472,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.7742,                0.92954,                0.98489,                0.94501,                0.84781,                0.90582,                0.45702,                 1.6173,                0.84747,                0.92774,               0.001274,               0.001274,               0.001274
                     58,                 1.8037,                0.90663,                0.97757,                0.94962,                0.85318,                0.90684,                0.46445,                 1.6123,                0.84229,                 0.9289,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.7444,                0.87364,                0.95328,                0.94628,                0.84244,                0.90352,                0.43073,                  1.695,                0.84626,                0.93029,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.8231,                0.90031,                0.98501,                0.95633,                0.84293,                0.90822,                0.48042,                  1.596,                0.80831,                0.91969,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.6606,                0.88563,                0.93674,                0.95497,                0.84781,                0.91017,                0.48791,                 1.6147,                0.80204,                0.92491,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.6671,                0.87515,                0.96606,                0.94581,                 0.8487,                0.90206,                0.47952,                  1.679,                0.81796,                0.93256,               0.001208,               0.001208,               0.001208
                     63,                 1.7235,                0.87806,                0.95033,                0.95447,                0.84064,                0.90252,                 0.4815,                  1.661,                0.83064,                 0.9302,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.6474,                0.84287,                0.94431,                0.94852,                0.83348,                0.90589,                0.46814,                 1.6336,                0.83285,                0.92558,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.8297,                0.92243,                0.94796,                0.94093,                0.81282,                0.89206,                0.41824,                 1.7698,                0.89701,                0.94082,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.8762,                 0.9362,                0.97485,                0.94696,                0.81509,                0.90053,                0.45776,                 1.6517,                0.86782,                0.92336,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.7345,                 0.9094,                0.95185,                0.94446,                0.83706,                0.90501,                0.47923,                 1.6068,                0.83185,                0.91747,               0.001142,               0.001142,               0.001142
                     68,                 1.7431,                 0.8776,                0.93898,                0.94933,                0.83348,                 0.8991,                0.48671,                 1.5941,                 0.8322,                0.92232,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.6872,                0.88372,                0.95602,                0.94611,                0.85228,                0.90177,                0.47344,                 1.6367,                 0.8205,                0.92236,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.7009,                0.86324,                0.94786,                0.94916,                0.85247,                0.90516,                0.46442,                 1.6773,                0.80626,                0.92219,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.7419,                0.86231,                0.94795,                0.95699,                 0.8565,                0.91041,                 0.4909,                 1.5793,                0.78999,                0.91269,              0.0010892,              0.0010892,              0.0010892
                     72,                  1.744,                0.86962,                0.94803,                0.94237,                0.83796,                0.89632,                0.39062,                 1.7241,                0.83166,                0.92735,               0.001076,               0.001076,               0.001076
                     73,                 1.7353,                0.85511,                0.95197,                0.93935,                0.84583,                0.89911,                0.41167,                 1.6822,                0.80859,                0.92116,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.6571,                0.86392,                0.93493,                0.96196,                0.84602,                0.91408,                0.49124,                 1.5159,                0.75822,                0.90335,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.6245,                0.83764,                0.93897,                 0.9509,                0.84064,                 0.8966,                0.45459,                 1.7308,                0.79204,                0.93619,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.6692,                0.84016,                0.94447,                0.95328,                0.84512,                0.90649,                0.48911,                 1.6098,                0.77647,                0.91886,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.6738,                0.85149,                0.95553,                0.95999,                0.84691,                0.91213,                0.51049,                 1.4805,                0.74518,                0.89807,                0.00101,                0.00101,                0.00101
                     78,                  1.614,                0.80839,                0.92811,                0.95061,                0.84423,                0.91275,                0.45444,                 1.6372,                0.79635,                0.92045,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.7466,                0.88467,                0.95144,                0.94306,                0.84513,                0.91076,                0.40796,                 1.8284,                0.85369,                0.95236,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.6892,                0.85762,                0.94415,                0.94768,                0.85944,                0.91175,                0.50137,                 1.4817,                0.76651,                0.90565,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.5815,                0.82969,                0.93336,                0.96184,                0.83501,                0.90139,                0.50003,                 1.6268,                0.77666,                0.92458,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.6119,                0.81313,                0.93576,                0.94543,                0.83753,                0.89565,                0.45681,                 1.8476,                0.83086,                0.96709,               0.000944,               0.000944,               0.000944
                     83,                 1.6253,                0.83505,                0.93212,                0.95213,                0.83527,                0.90536,                0.48014,                  1.731,                0.82913,                0.95043,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.6364,                0.83885,                0.94743,                0.94894,                0.84854,                0.91581,                0.48518,                 1.5383,                0.81038,                0.91132,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.6436,                0.84533,                0.94405,                0.95047,                 0.8589,                0.91722,                0.50645,                 1.4817,                 0.7678,                0.89902,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.5858,                0.81571,                0.92335,                0.95042,                0.85676,                0.91495,                0.49557,                 1.4804,                0.74559,                0.89699,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.6309,                 0.8346,                0.93836,                0.95425,                0.85676,                0.90972,                0.47395,                 1.5314,                0.76691,                0.90435,               0.000878,               0.000878,               0.000878
                     88,                 1.5661,                0.81458,                0.94283,                0.97521,                0.84691,                0.91089,                0.49427,                 1.5907,                0.78895,                0.91431,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.5654,                 0.7995,                 0.9369,                0.97414,                 0.8496,                0.91491,                 0.5168,                 1.5247,                0.75698,                0.90582,              0.0008516,              0.0008516,              0.0008516
                     90,                  1.543,                0.77785,                0.93149,                 0.9757,                0.83885,                 0.9141,                  0.523,                 1.4706,                0.73737,                0.89624,              0.0008384,              0.0008384,              0.0008384
                     91,                  1.593,                0.82685,                0.93689,                 0.9759,                0.83348,                0.91438,                 0.5308,                 1.4367,                0.74317,                 0.8925,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.5459,                0.80239,                0.92457,                0.96732,                0.83885,                0.91556,                0.49788,                 1.5051,                0.74356,                 0.8993,               0.000812,               0.000812,               0.000812
                     93,                 1.6403,                0.80439,                0.95134,                0.95859,                0.84976,                0.91592,                 0.4979,                 1.4959,                0.73155,                0.90053,              0.0007988,              0.0007988,              0.0007988
                     94,                  1.529,                0.79634,                0.91669,                0.97229,                  0.848,                0.91368,                0.50118,                 1.4615,                0.74277,                0.89866,              0.0007856,              0.0007856,              0.0007856
                     95,                  1.647,                0.79946,                0.93748,                0.96928,                0.85228,                0.91361,                0.49031,                 1.4995,                0.77025,                0.90525,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.6179,                0.81605,                0.94224,                0.97363,                0.84423,                0.91487,                 0.5122,                 1.4757,                0.76718,                0.90284,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.5186,                0.78348,                0.92498,                0.96668,                0.84781,                0.91659,                 0.5341,                 1.4483,                0.74391,                0.89903,               0.000746,               0.000746,               0.000746
                     98,                 1.4837,                0.77704,                0.93339,                0.95598,                0.85586,                0.91495,                0.52662,                 1.4584,                0.72841,                0.89864,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.6274,                0.79875,                0.91988,                0.96323,                0.84426,                0.91105,                0.51329,                 1.4707,                0.73523,                0.89847,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.5917,                0.80878,                0.95061,                0.96258,                0.85215,                 0.9139,                0.53403,                 1.4021,                0.71061,                0.89183,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.4912,                0.79155,                0.92604,                0.96301,                0.85228,                0.91426,                0.53852,                 1.3756,                0.70085,                0.88631,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.5069,                0.78516,                0.92348,                0.96177,                0.85497,                 0.9189,                0.49473,                 1.4935,                0.73351,                0.89899,                0.00068,                0.00068,                0.00068
                    103,                 1.5948,                0.79114,                0.92908,                0.95045,                0.85859,                0.91512,                0.45494,                  1.632,                 0.7819,                0.91875,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.5481,                0.83251,                0.92831,                0.95952,                0.85855,                0.91773,                0.47829,                 1.5382,                0.77751,                0.90469,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.5379,                0.82086,                0.93698,                0.96272,                0.85765,                0.91693,                0.50943,                 1.4146,                0.73687,                0.88911,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.5597,                0.81351,                0.92763,                0.96193,                0.85955,                0.91524,                0.50941,                 1.4414,                0.72802,                0.89167,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.5036,                0.78764,                0.92941,                0.96663,                0.85569,                0.91338,                0.50447,                 1.5255,                0.73019,                0.90205,               0.000614,               0.000614,               0.000614
                    108,                  1.564,                0.79029,                0.92622,                0.97038,                0.84602,                0.91455,                0.54015,                 1.4408,                0.73024,                0.89786,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.5091,                 0.7678,                0.93119,                0.97519,                0.84244,                0.91914,                0.54009,                 1.4121,                0.72846,                0.89491,              0.0005876,              0.0005876,              0.0005876
                    110,                  1.569,                0.79673,                0.90709,                0.97504,                0.83923,                0.91915,                0.52734,                 1.4258,                 0.7179,                 0.8931,              0.0005744,              0.0005744,              0.0005744
